"MODEL","VZW SIM","ATT SIM","TMO SIM","CONFIG"
"I-4100/4500/M5","YES, ACTIVE","NO","NO","VZW ONLY"
"I-4100/4500/M5","NO","YES, ACTIVE","NO","ATT ONLY"
"I-4100/4500/M5","NO","NO","YES, ACTIVE","TMO ONLY"
"I-22/S2","YES, ACTIVE","NO","NO","VZW ONLY"
"I-22/S2","YES, ACTIVE","YES, INACTIVE","NO","VZW ONLY"
"I-22/S2","YES, ACTIVE","NO","YES, INACTIVE","VZW ONLY"
"I-22/S2","NO","YES, ACTIVE","NO","ATT ONLY"
"I-22/S2","YES, INACTIVE","YES, ACTIVE","NO","DUAL CARRIER - ATT ONLY VERIZON INACTIVE"
"I-22/S2","NO","NO","YES, ACTIVE","TMO ONLY"
"I-22/S2","YES, INACTIVE","NO","YES, ACTIVE","DUAL CARRIER - TMO ONLY VERIZON INACTIVE"
"I-22/S2","YES, ACTIVE","YES, ACTIVE","NO","VZW/ATT DUAL"
"I-22/S2","YES, ACTIVE","NO","YES, ACTIVE","VZW/TMO DUAL"
"ORIGIN/CR292","YES, ACTIVE, ESIM","NO","YES, INACTIVE, PHYSICAL","DUAL CARRIER - VZW ONLY TMO INACTIVE"
"ORIGIN/CR292","YES, ACTIVE, ESIM","YES, INACTIVE, PHYSICAL","NO","DUAL CARRIER - VZW ONLY ATT INACTIVE"
"ORIGIN/CR292","YES, INACTIVE, ESIM","YES, ACTIVE, PHYSICAL","NO","ATT ONLY"
"ORIGIN/CR292","YES, INACTIVE, ESIM","NO","YES, ACTIVE, PHYSICAL","TMO ONLY"
"ORIGIN/CR292","YES, ACTIVE, ESIM","YES, ACTIVE, PHYSICAL","NO","VZW/ATT DUAL"
"ORIGIN/CR292","YES, ACTIVE, ESIM","NO","YES, ACTIVE, PHYSICAL","VZW/TMO DUAL"
